file,svmr_result,cpalasso_result,cpalasso_cost_time,Ultimate0122_result,Ultimate_timecost,loop_condition_variables_count,array_operator,lines,has_break,ET+cpalasso,ET+Ultimate
java_AG313_true-termination_true-no-overflow.c,Unknown,Unknown,1.41,Terminate,3.75,2,FALSE,15,FALSE,Other,Terminate
min_rf-alloca_true-termination.c,Failed,Terminate,1.87,Terminate,7.77,2,FALSE,16,FALSE,Terminate,Terminate
nonlin_div_term_1.c,Terminate,Unknown,8.68,Unknown,6.7,2,FALSE,15,FALSE,Terminate,Terminate
nonlin_div_term_2.c,Terminate,Nonterminate,1.42,Unknown,7.12,1,FALSE,15,FALSE,Terminate,Terminate
nonlin_jump_over_1_term.c,Unknown,Unknown,2.38,Terminate,11.18,2,FALSE,15,FALSE,Other,Terminate
nonlin_mod_term_1.c,Terminate,Unknown,1.4,ERROR,4.52,2,FALSE,15,FALSE,Terminate,Terminate
nonlin_mod_term_2.c,Terminate,Unknown,1.44,ERROR,4.72,2,FALSE,18,FALSE,Terminate,Terminate
nonlin_mod_term_3.c,Terminate,Unknown,1.45,Unknown,6.37,1,FALSE,16,FALSE,Terminate,Terminate
nonlin_mod_term_4.c,Terminate,Terminate,1.69,ERROR,4.76,2,FALSE,15,FALSE,Terminate,Terminate
nonlin_mult_term_1.c,Unknown,Nonterminate,1.28,Unknown,5.7,1,FALSE,14,FALSE,Other,Other
nonlin_mult_term_2.c,Unknown,Nonterminate,1.3,Unknown,6.06,1,FALSE,15,FALSE,Other,Other
nonlin_mult_term_3.c,Unknown,Nonterminate,1.36,Unknown,6.44,1,FALSE,17,FALSE,Other,Other
nonlin_mult_term_4.c,Unknown,Nonterminate,1.34,Terminate,5.5,2,FALSE,18,FALSE,Other,Terminate
nonlin_mult_term_5.c,Terminate,Nonterminate,1.29,Unknown,6.19,1,FALSE,16,FALSE,Terminate,Terminate
nonlin_mult_term_6.c,Terminate,Nonterminate,1.27,Terminate,5.77,2,FALSE,12,FALSE,Terminate,Terminate
nonlin_mult_term_7.c,Terminate,Nonterminate,1.49,Unknown,6.9,1,FALSE,15,FALSE,Terminate,Terminate
nonlin_mult_term_8.c,Failed,Nonterminate,1.37,Unknown,6.57,1,FALSE,18,FALSE,Other,Other
nonlin_mult_term_9.c,Terminate,Nonterminate,1.33,Unknown,6.11,1,FALSE,15,FALSE,Terminate,Terminate
term_01.c,Terminate,Terminate,1.46,Terminate,4.29,2,FALSE,15,FALSE,Terminate,Terminate
term_02.c,Unknown,FAILED,0.58,Unknown,3.01,3,FALSE,15,FALSE,Other,Other
term_03.c,Failed,FAILED,0.55,Unknown,3.05,3,FALSE,15,FALSE,Other,Other
term_04.c,Unknown,Terminate,1.74,Terminate,4.02,2,FALSE,19,FALSE,Terminate,Terminate
term_05.c,Terminate,Unknown,1.59,Terminate,4.16,2,FALSE,14,FALSE,Terminate,Terminate
term_06.c,Unknown,Terminate,1.48,Terminate,3.69,1,FALSE,11,FALSE,Terminate,Terminate
term_07.c,Failed,Terminate,2,Terminate,4.8,1,FALSE,13,FALSE,Terminate,Terminate
term_08.c,Unknown,Terminate,1.19,Terminate,3.66,1,FALSE,11,FALSE,Terminate,Terminate
term_09.c,Unknown,Terminate,2.38,Terminate,5.19,2,FALSE,23,FALSE,Terminate,Terminate
term_10.c,Unknown,Terminate,2.29,Terminate,5.98,2,FALSE,22,FALSE,Terminate,Terminate
term_11.c,Failed,Terminate,1.96,Terminate,4.99,3,FALSE,21,FALSE,Terminate,Terminate
term_12.c,Terminate,FAILED,308.14,Terminate,3.72,3,FALSE,12,FALSE,Terminate,Terminate
term_13.c,Unknown,Unknown,3.21,Terminate,4.45,3,FALSE,13,FALSE,Other,Terminate
term_14.c,Failed,Unknown,3.2,Terminate,4.81,4,FALSE,14,FALSE,Other,Terminate
term_15.c,Terminate,Terminate,3,Terminate,4.34,2,FALSE,16,FALSE,Terminate,Terminate
term_16.c,Unknown,Terminate,3,Terminate,4.11,2,FALSE,17,FALSE,Terminate,Terminate
term_17.c,Failed,Unknown,288.8,Unknown,8.2,1,FALSE,14,FALSE,Other,Other
term_18.c,Unknown,Unknown,286.12,Unknown,33.92,1,FALSE,16,FALSE,Other,Other
term_19.c,Unknown,Unknown,4.54,Unknown,19.5,2,FALSE,14,FALSE,Other,Other
term_20.c,Unknown,Terminate,1.49,Terminate,3.74,1,FALSE,12,FALSE,Terminate,Terminate
term_21.c,Unknown,Unknown,4.17,Unknown,6.66,1,FALSE,12,FALSE,Other,Other
term_22.c,Failed,Terminate,2.48,Terminate,6.85,2,FALSE,22,FALSE,Terminate,Terminate
term_23.c,Unknown,Unknown,1.91,Terminate,6.51,2,FALSE,14,FALSE,Other,Terminate
term_24.c,Terminate,Terminate,2.62,Terminate,4.92,2,FALSE,16,FALSE,Terminate,Terminate
term_25.c,Failed,Terminate,1.81,Terminate,5.58,4,FALSE,18,FALSE,Terminate,Terminate
term_26.c,Unknown,Terminate,2.63,Unknown,54.91,2,FALSE,16,FALSE,Terminate,Other
term_27.c,Failed,TIMEOUT,310.16,Terminate,5.42,2,FALSE,17,FALSE,Other,Terminate
term_28.c,Unknown,Terminate,1.57,Terminate,3.8,2,FALSE,20,FALSE,Terminate,Terminate
term_29.c,Unknown,Terminate,4.34,Terminate,19.23,2,FALSE,20,FALSE,Terminate,Terminate
transform_1.c,Failed,Terminate,33.18,Terminate,5.04,1,FALSE,19,FALSE,Terminate,Terminate
trex03_false-unreach-call_true-termination-modif.c,Unknown,Terminate,2.35,Terminate,5.32,3,FALSE,24,FALSE,Terminate,Terminate
trex03_false-unreach-call_true-termination-simpl.c,Unknown,Terminate,2.27,Terminate,4.25,3,FALSE,18,FALSE,Terminate,Terminate
trex03_false-unreach-call_true-termination.c,Unknown,Terminate,2.31,Terminate,4.66,3,FALSE,21,FALSE,Terminate,Terminate
◊Ó÷’Õ≥º∆,54,94,26.54695906,120,15.43888889,0,0,0,0,119,132
