pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
629713205,C/Stroeder_15/aaron3_true-termination.c,17270721,UltimateAutomizer2023,47463,default,790100,complete,26.110718,14.43116113706492,0.0,YES
629713358,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c,17270874,AProVE23,45560,c,749009,complete,113.318629,38.99610138311982,0.0,YES
629713359,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c,17270874,UltimateAutomizer2023,47463,default,790100,complete,26.225608,11.351844944059849,0.0,YES
629713398,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c,17270913,AProVE23,45560,c,749009,complete,23.04158,7.600066391052678,0.0,YES
629713399,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c,17270913,UltimateAutomizer2023,47463,default,790100,complete,33.303958,14.56244162702933,0.0,YES
629713108,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,17270623,AProVE23,45560,c,749009,complete,49.835517,23.671895157080144,0.0,YES
629713109,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,17270623,UltimateAutomizer2023,47463,default,790100,complete,27.354066,11.483336091972888,0.0,YES
629713116,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c,17270631,AProVE23,45560,c,749009,complete,21.574067,6.600346113089472,0.0,YES
629713117,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c,17270631,UltimateAutomizer2023,47463,default,790100,complete,27.119074,12.237785517936572,0.0,YES
629713242,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c,17270760,AProVE23,45560,c,749009,complete,14.200835,4.635086691007018,0.0,YES
629713243,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c,17270760,UltimateAutomizer2023,47463,default,790100,complete,34.074959,21.073251741938293,0.0,YES
629713028,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c,17270544,AProVE23,45560,c,749009,complete,21.553274,7.869605200132355,0.0,YES
629713029,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c,17270544,UltimateAutomizer2023,47463,default,790100,complete,32.054234,16.311348896939307,0.0,YES
629713164,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c,17270681,AProVE23,45560,c,749009,complete,52.189911,22.89387154695578,0.0,YES
