file,result_lasso,error1,rf_lasso,out_lasso,result_general,error2,rf_general,out_general,cost_time_lasso,cost_time_general,path
"ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c_general_out",2.11,262.86,"Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c"
"CookSeeZuleger-TACAS2013-Fig7a_true-termination.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/CookSeeZuleger-TACAS2013-Fig7a_true-termination.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/CookSeeZuleger-TACAS2013-Fig7a_true-termination.c_general_out",1.63,2.03,"Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/CookSeeZuleger-TACAS2013-Fig7a_true-termination.c"
"CookSeeZuleger-TACAS2013-Fig1_true-termination.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/CookSeeZuleger-TACAS2013-Fig1_true-termination.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/CookSeeZuleger-TACAS2013-Fig1_true-termination.c_general_out",1.66,1.95,"Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/CookSeeZuleger-TACAS2013-Fig1_true-termination.c"
"ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c_general_out",1.29,1.41,"Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c"
"HeizmannHoenickeLeikePodelski-ATVA2013-Fig6_true-termination.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/HeizmannHoenickeLeikePodelski-ATVA2013-Fig6_true-termination.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/HeizmannHoenickeLeikePodelski-ATVA2013-Fig6_true-termination.c_general_out",1.60,1.64,"Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig6_true-termination.c"
"PodelskiRybalchenko-LICS2004-Fig2_true-termination.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/PodelskiRybalchenko-LICS2004-Fig2_true-termination.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/PodelskiRybalchenko-LICS2004-Fig2_true-termination.c_general_out",1.69,2.03,"Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/PodelskiRybalchenko-LICS2004-Fig2_true-termination.c"
"GopanReps-CAV2006-Fig1a_true-termination.c.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/GopanReps-CAV2006-Fig1a_true-termination.c.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/GopanReps-CAV2006-Fig1a_true-termination.c.c_general_out",289.55,2.41,"Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/GopanReps-CAV2006-Fig1a_true-termination.c.c"
"HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination.c_general_out",1.62,1.98,"Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination.c"
"AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c_general_out",293.68,138.41,"Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c"
"aaron3_true-termination.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/aaron3_true-termination.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/aaron3_true-termination.c_general_out",2.07,2.39,"Datasets/Loopy_dataset_InvarBenchmark/termination/tpdb/C/SV-COMP_Termination_Category/aaron3_true-termination.c"
