file,depth,terminating,mode,svmranker_time,ranking_function,llm_run_time
86,0,UNKNOWN,1-nested,0.968044,,7.6568
87,0,NONTERM,1-nested,0.821739,,7.7628
88,0,UNKNOWN,1-nested,0.970032,,6.836
89,0,NONTERM,1-nested,0.816874,,7.3945
9,0,NONTERM,4-nested,0.767825,,7.7518
90,0,NONTERM,1-nested,0.820266,,6.4289
93,0,UNKNOWN,1-nested,0.917848,,6.1209
94,0,UNKNOWN,1-nested,0.968571,,5.7719
95,0,NONTERM,1-nested,0.819224,,7.3888
96,0,UNKNOWN,1-nested,0.919305,,8.7867
97,0,UNKNOWN,1-nested,0.917263,,6.5043
98,0,UNKNOWN,1-nested,0.969848,,6.6087
99,0,UNKNOWN,1-nested,1.220034,,8.3217
a.09_assume,1,TERMINATE,1-nested,0.817,0.9 *  x0^1.0 + 0.2 *  x1^1.0 - 0.9 *  x[2]^1.0 + 0.7 * 1,7.3624
a.09_assume_false-no-overflow,1,TERMINATE,1-nested,0.820107,0.9 *  x0^1.0 + 0.2 *  x1^1.0 - 0.9 *  x[2]^1.0 + 0.7 * 1,17.4577
AliasDarteFeautrierGonnord-SAS2010-exmini,0,UNKNOWN,1-nested,1.068617,,7.3139
AliasDarteFeautrierGonnord-SAS2010-terminate,0,UNKNOWN,1-nested,1.117463,,6.7494
b.03-no-inv_assume,0,NONTERM,4-nested,0.817763,,8.8828
b.03_assume,1,TERMINATE,4-nested,0.819387,1.0 *  x0^1.0 - 1.0 *  x1^1.0 + 1.0 * 1,8.8917
b.03_assume_false-no-overflow,2,TERMINATE,1-nested,0.967586,0.4308 *  x0^1.0 - 0.6007 *  x1^1.0 + 0.3534 * 1; 0.3438 *  x0^1.0 - 0.1782 *  x1^1.0 + 0.438 * 1,8.2289
b.04,1,TERMINATE,4-multi,1.571616,0.5 *  x0^1 - 0.5 *  x1^1 + 0.7 * 1,9.5894
Bangalore-1,0,NONTERM,1-nested,0.81673,,11.0873
Bangalore_v2,0,NONTERM,1-nested,0.818027,,6.8689
Bangalore_v3,0,NONTERM,1-nested,0.819253,,10.4747
Bangalore_v4,0,NONTERM,1-nested,0.819828,,9.0003
Cairo,0,UNKNOWN,4-nested,1.518843,,10.4323
Cairo_step2-2,0,UNKNOWN,1-nested,0.919628,,9.1014
ChenFlurMukhopadhyay-SAS2012-Ex2.01,2,TERMINATE,1-nested,0.868002,1.0 *  x1^1.0 + 0.9 * 1; 1.0 *  x0^1.0 + 0.7 * 1,7.1007
ChenFlurMukhopadhyay-SAS2012-Ex2.02,0,UNKNOWN,1-nested,0.968999,,6.3566
