config,file_name,benchmark_name,generated,extraction_success,invariants_found,template_type,verified
Full (Inv + Extract),c.07_true-termination_true-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,c.07_true-termination_true-no-overflow,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),Cairo_true-no-overflow_true-termination_true-valid-memsafety_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Cairo_true-no-overflow_true-termination_true-valid-memsafety,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_false-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_false-no-overflow,True,False,True,lmulti,NONTERM
Full (Inv + Extract),ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination,True,False,True,lnested,ERROR
Full (Inv + Extract),ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination,True,False,True,lnested,TERMINATE
Full (Inv + Extract),ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version1_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version1,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version2_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version2,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version3_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version3,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version4_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version4,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version5_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version5,True,False,True,lnested,NONTERM
Full (Inv + Extract),ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version6_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow-version6,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChenFlurMukhopadhyay-SAS2012-Ex1.01_false-no-overflow,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),ChenFlurMukhopadhyay-SAS2012-Ex1.02_false-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChenFlurMukhopadhyay-SAS2012-Ex1.02_false-no-overflow,True,False,True,lnested,TERMINATE
Full (Inv + Extract),ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-no-overflow,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-simpl_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-simpl,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-version1_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-version1,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-version2_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-version2,True,False,True,lnested,NONTERM
Full (Inv + Extract),ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),CookSeeZuleger-TACAS2013-Fig1_true-termination_true-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,CookSeeZuleger-TACAS2013-Fig1_true-termination_true-no-overflow,True,False,True,lmulti,TERMINATE
Full (Inv + Extract),CookSeeZuleger-TACAS2013-Fig7a-true-termination_true-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,CookSeeZuleger-TACAS2013-Fig7a-true-termination_true-no-overflow,True,False,True,lnested,TERMINATE
Full (Inv + Extract),CookSeeZuleger-TACAS2013-Fig7b-true-termination_true-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,CookSeeZuleger-TACAS2013-Fig7b-true-termination_true-no-overflow,True,False,True,lnested,NONTERM
Full (Inv + Extract),CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination_true-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination_true-no-overflow,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),Copenhagen_disj_true-termination_true-valid-memsafety_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Copenhagen_disj_true-termination_true-valid-memsafety,True,False,True,lnested,UNKNOWN
