file,result_2ls_TPDB_copy1,time_taken_2ls_TPDB_copy1,result_2ls_TPDB_copy2,time_taken_2ls_TPDB_copy2,result_2ls_TPDB_copy3,time_taken_2ls_TPDB_copy3,consistency
TPDB_Y2024_filtered_VBS/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c,Maybe,0.83,Maybe,0.82,Maybe,0.84,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.14.c,YES,0.62,YES,0.61,YES,0.61,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.09-no-inv_assume.c,Maybe,5.88,Maybe,5.87,Maybe,5.98,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Factorial.c,Maybe,0.83,Maybe,0.8,Maybe,0.84,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Cousot.c,Maybe,0.09,Maybe,0.09,Maybe,0.12,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Rotation180_false-termination.c,Maybe,0.18,Maybe,0.18,Maybe,0.18,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c,Maybe,0.49,Maybe,0.72,Maybe,0.72,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Sequence.c,YES,0.23,YES,0.23,YES,0.23,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_c.02.c,YES,0.43,YES,0.41,YES,0.42,True
TPDB_Y2024_filtered_VBS/Stroeder_15/GCD4.c,YES,0.52,YES,0.52,YES,0.52,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_ex1.c,YES,0.2,YES,0.2,YES,0.2,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_java_AG313.c,YES,0.26,YES,0.25,YES,0.26,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-wise_true-termination.c,YES,0.23,YES,0.23,YES,0.24,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c,YES,0.42,YES,0.41,YES,0.41,True
TPDB_Y2024_filtered_VBS/Stroeder_15/GulavaniGulwani-CAV2008-Fig1b_true-termination.c,YES,0.32,YES,0.31,YES,0.31,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c,Maybe,9.23,Maybe,9.33,Maybe,9.31,True
TPDB_Y2024_filtered_VBS/Stroeder_15/GCD2.c,Maybe,0.8,Maybe,0.81,Maybe,0.56,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaC3.c,YES,0.24,YES,0.18,YES,0.24,True
TPDB_Y2024_filtered_VBS/Stroeder_15/BradleyMannaSipma-ICALP2005-Fig1_true-termination.c,Maybe,0.54,Maybe,0.54,Maybe,0.55,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ConvLower.c,Maybe,0.1,Maybe,0.11,Maybe,0.1,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.15_false-termination.c,Maybe,0.16,Maybe,0.16,Maybe,0.22,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-LICS2004-Fig2-TACAS2011-Fig3_true-termination.c,Maybe,75.77,Maybe,76.54,Maybe,78.39,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB14.c,YES,0.41,YES,0.41,YES,0.41,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.08.c,YES,0.24,YES,0.24,YES,0.25,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.21_true-termination.c,YES,0.23,YES,0.22,YES,0.23,True
TPDB_Y2024_filtered_VBS/Stroeder_15/McCarthyIterative.c,YES,0.14,YES,0.18,YES,0.15,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.07.c,YES,0.24,YES,0.23,YES,0.24,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.11_false-termination.c,Maybe,4.66,Maybe,4.67,Maybe,4.75,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AlternDivWide.c,Maybe,0.26,Maybe,0.26,Maybe,0.36,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c,Maybe,0.57,Maybe,0.56,Maybe,0.4,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c,Maybe,0.57,Maybe,0.81,Maybe,0.82,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PlusSwap.c,YES,0.52,YES,0.37,YES,0.36,True
TPDB_Y2024_filtered_VBS/Stroeder_15/LeikeHeizmann-TACAS2014-Ex7_true-termination.c,YES,0.3,YES,0.29,YES,0.29,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Velroyen_false-termination.c,Maybe,0.1,Maybe,0.1,Maybe,0.12,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.10_true-termination.c,YES,0.62,YES,0.91,YES,0.91,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Madrid_false-termination.c,Maybe,0.1,Maybe,0.09,Maybe,0.09,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB15.c,YES,0.27,YES,0.27,YES,0.27,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-LICS2004-Fig1_true-termination.c,Maybe,0.17,Maybe,0.16,Maybe,0.16,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.03_true-termination.c,Maybe,1.49,Maybe,1.45,Maybe,1.53,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-termination.c,Maybe,0.15,Maybe,0.11,Maybe,0.13,True
TPDB_Y2024_filtered_VBS/Stroeder_15/LogAG.c,Maybe,1.78,Maybe,1.39,Maybe,1.73,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_c.01_assume.c,Maybe,0.4,Maybe,0.29,Maybe,0.4,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c,YES,0.11,YES,0.14,YES,0.14,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Marbie2.c,Maybe,0.06,Maybe,0.07,Maybe,0.07,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Mysore_true-termination.c,Maybe,0.57,Maybe,0.57,Maybe,0.57,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_02.c,Maybe,0.2,Maybe,0.2,Maybe,0.21,True
TPDB_Y2024_filtered_VBS/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Fig1_true-termination.c,YES,0.22,YES,0.21,YES,0.3,True
TPDB_Y2024_filtered_VBS/Stroeder_15/WhileSingle.c,Maybe,0.11,Maybe,0.1,Maybe,0.09,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.02_true-termination.c,Maybe,0.63,Maybe,0.43,Maybe,0.62,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-TACAS2011-Fig1_true-termination.c,YES,0.11,YES,0.13,YES,0.12,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Gauss.c,Maybe,0.52,Maybe,0.52,Maybe,0.51,True
TPDB_Y2024_filtered_VBS/Stroeder_15/LogMult.c,Maybe,0.95,Maybe,0.96,Maybe,0.66,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c,Maybe,0.49,Maybe,0.49,Maybe,0.35,True
TPDB_Y2024_filtered_VBS/Stroeder_15/WhilePart.c,Maybe,0.13,Maybe,0.12,Maybe,0.12,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-termination.c,Maybe,0.32,Maybe,0.32,Maybe,0.32,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Bangalore_true-termination.c,YES,0.15,YES,0.14,YES,0.14,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Nyala-2lex_true-termination.c,YES,0.2,YES,0.21,YES,0.2,True
TPDB_Y2024_filtered_VBS/Stroeder_15/TrueDiv.c,Maybe,0.09,Maybe,0.08,Maybe,0.1,True
TPDB_Y2024_filtered_VBS/Stroeder_15/MenloPark_true-termination.c,Maybe,0.83,Maybe,0.84,Maybe,0.83,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Copenhagen_true-termination.c,YES,0.45,YES,0.44,YES,0.44,True
TPDB_Y2024_filtered_VBS/Stroeder_15/2Nested_true-termination.c,Maybe,0.56,Maybe,0.55,Maybe,0.56,True
TPDB_Y2024_filtered_VBS/Stroeder_15/LeikeHeizmann-WST2014-Ex5_false-termination.c,Maybe,24.42,Maybe,24.48,Maybe,24.9,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Log.c,YES,0.54,YES,0.38,YES,0.54,True
TPDB_Y2024_filtered_VBS/Stroeder_15/CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination.c,Maybe,0.15,Maybe,0.19,Maybe,0.2,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,Maybe,0.69,Maybe,0.94,Maybe,1.02,True
TPDB_Y2024_filtered_VBS/Stroeder_15/aaron2_true-termination.c,Maybe,0.32,Maybe,0.33,Maybe,0.34,True
TPDB_Y2024_filtered_VBS/Stroeder_15/IntPath.c,Maybe,0.12,Maybe,0.12,Maybe,0.16,True
TPDB_Y2024_filtered_VBS/Stroeder_15/DivMinus.c,YES,0.29,YES,0.29,YES,0.3,True
TPDB_Y2024_filtered_VBS/Stroeder_15/aaron3_true-termination.c,Maybe,0.4,Maybe,0.39,Maybe,0.57,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_fermat.c,YES,0.7,YES,0.69,YES,0.7,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Piecewise_true-termination.c,Maybe,0.32,Maybe,0.32,Maybe,0.47,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_java_Nested.c,YES,0.6,YES,0.59,YES,0.59,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.10.c,YES,0.2,YES,0.19,YES,0.27,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_java_Sequence.c,YES,0.33,YES,0.32,YES,0.32,True
TPDB_Y2024_filtered_VBS/Stroeder_15/4NestedWith3Variables_true-termination.c,Maybe,19.2,Maybe,18.53,Maybe,20.85,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.17.c,YES,0.4,YES,0.28,YES,0.41,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Sunset.c,Maybe,0.13,Maybe,0.17,Maybe,0.13,True
TPDB_Y2024_filtered_VBS/Stroeder_15/MirrorInterv.c,Maybe,0.17,Maybe,0.13,Maybe,0.17,True
TPDB_Y2024_filtered_VBS/Stroeder_15/WhileFalse_true-termination.c,Maybe,0.11,Maybe,0.09,Maybe,0.09,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Masse-VMCAI2014-Fig1b_true-termination.c,Maybe,0.24,Maybe,0.18,Maybe,0.24,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.06.c,TIMEOUT,300.11,TIMEOUT,300.1,TIMEOUT,300.1,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Fibonacci.c,Maybe,2.16,Maybe,2.32,Maybe,2.36,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaA7.c,YES,0.26,YES,0.19,YES,0.26,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.13.c,YES,0.27,YES,0.19,YES,0.19,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.08_true-termination.c,Maybe,0.63,Maybe,0.44,Maybe,0.44,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB17.c,YES,0.32,YES,0.32,YES,0.33,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Urban-WST2013-Fig2-modified1000_true-termination.c,YES,0.27,YES,0.18,YES,0.26,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.15.c,YES,0.52,YES,0.51,YES,0.51,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron1_true-termination.c,Maybe,0.45,Maybe,0.32,Maybe,0.45,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-random2d_true-termination.c,YES,0.31,YES,0.31,YES,0.31,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Ex02.c,Maybe,0.11,Maybe,0.08,Maybe,0.09,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.03_assume.c,Maybe,0.25,Maybe,0.33,Maybe,0.32,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Ex01.c,Maybe,0.33,Maybe,0.23,Maybe,0.32,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NonTermination4_false-termination.c,Maybe,0.41,Maybe,0.58,Maybe,0.59,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaA10.c,YES,0.23,YES,0.17,YES,0.23,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_ex3b.c,Maybe,0.8,Maybe,0.81,Maybe,0.79,True
TPDB_Y2024_filtered_VBS/Stroeder_15/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c,Maybe,0.28,Maybe,0.21,Maybe,0.28,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.02_false-termination.c,Maybe,0.21,Maybe,0.21,Maybe,0.21,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_c.01-no-inv.c,Maybe,0.93,Maybe,0.63,Maybe,0.93,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaC9.c,YES,0.39,YES,0.39,YES,0.39,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple7_false-termination.c,Maybe,0.12,Maybe,0.08,Maybe,0.11,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Masse-VMCAI2014-Fig1a_true-termination.c,YES,0.41,YES,0.28,YES,0.4,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_a.01.c,YES,0.49,YES,0.49,YES,0.48,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ComplxStruc.c,Maybe,0.56,Maybe,0.38,Maybe,0.55,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c,Maybe,2.25,Maybe,2.39,Maybe,2.3,True
TPDB_Y2024_filtered_VBS/Stroeder_15/BradleyMannaSipma-CAV2005-Fig1_true-termination.c,YES,0.22,YES,0.22,YES,0.17,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Et4.c,TIMEOUT,300.11,TIMEOUT,300.06,TIMEOUT,300.11,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Even.c,Maybe,0.25,Maybe,0.34,Maybe,0.35,True
TPDB_Y2024_filtered_VBS/Stroeder_15/TelAviv-Amir-Minimum_true-termination.c,Maybe,1.58,Maybe,1.57,Maybe,1.76,True
TPDB_Y2024_filtered_VBS/Stroeder_15/WhileTrue.c,Maybe,0.07,Maybe,0.07,Maybe,0.08,True
TPDB_Y2024_filtered_VBS/Stroeder_15/WhileIncrPart.c,Maybe,0.31,Maybe,0.23,Maybe,0.31,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AlternDiv.c,Maybe,0.23,Maybe,0.32,Maybe,0.33,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaC7.c,Maybe,1.48,Maybe,1.46,Maybe,2.0,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c,Maybe,0.23,Maybe,0.22,Maybe,0.22,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_flag.c,YES,0.33,YES,0.45,YES,0.31,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.03-no-inv_assume.c,Maybe,0.33,Maybe,0.33,Maybe,0.24,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Swingers.c,Maybe,0.22,Maybe,0.21,Maybe,0.16,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChooseLife.c,Maybe,0.51,Maybe,0.5,Maybe,0.5,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.09_true-termination.c,Maybe,2.26,Maybe,1.82,Maybe,1.81,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Choose.c,Maybe,0.35,Maybe,0.35,Maybe,0.35,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Stockholm_true-termination.c,YES,0.13,YES,0.11,YES,0.12,True
TPDB_Y2024_filtered_VBS/Stroeder_15/WhileNested.c,Maybe,0.3,Maybe,0.41,Maybe,0.29,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple9_false-termination.c,Maybe,0.16,Maybe,0.14,Maybe,0.17,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.05.c,YES,0.19,YES,0.24,YES,0.18,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NonTermination2_false-termination.c,Maybe,0.23,Maybe,0.22,Maybe,0.23,True
TPDB_Y2024_filtered_VBS/Stroeder_15/TwoFloatInterv.c,Maybe,0.15,Maybe,0.15,Maybe,0.12,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaC10.c,Maybe,1.11,Maybe,0.77,Maybe,1.12,True
TPDB_Y2024_filtered_VBS/Stroeder_15/MinusMin.c,TIMEOUT,300.05,TIMEOUT,300.11,TIMEOUT,300.07,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex3.08_true-termination.c,Maybe,1.9,Maybe,1.99,Maybe,2.03,True
TPDB_Y2024_filtered_VBS/Stroeder_15/LeikeHeizmann-TACAS2014-Ex8_true-termination.c,Maybe,0.46,Maybe,0.45,Maybe,0.66,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.12.c,YES,0.21,YES,0.21,YES,0.21,True
TPDB_Y2024_filtered_VBS/Stroeder_15/DoubleNeg.c,YES,0.19,YES,0.19,YES,0.2,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NarrowKonv.c,Maybe,0.14,Maybe,0.14,Maybe,0.18,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NoriSharma-FSE2013-Fig8_true-termination.c,Maybe,6.44,Maybe,6.41,Maybe,6.45,True
TPDB_Y2024_filtered_VBS/Stroeder_15/GopanReps-CAV2006-Fig1a_true-termination.c.c,Maybe,0.5,Maybe,0.71,Maybe,0.72,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_c.03.c,YES,0.21,YES,0.21,YES,0.2,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_13.c,Maybe,0.4,Maybe,0.56,Maybe,0.56,True
TPDB_Y2024_filtered_VBS/Stroeder_15/HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination.c,YES,0.14,YES,0.13,YES,0.11,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Parallel_true-termination.c,YES,0.18,YES,0.18,YES,0.13,True
TPDB_Y2024_filtered_VBS/Stroeder_15/WhileNestedOffset.c,Maybe,0.42,Maybe,0.42,Maybe,0.3,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Overflow.c,Maybe,0.07,Maybe,0.07,Maybe,0.07,True
TPDB_Y2024_filtered_VBS/Stroeder_15/MinusBuiltIn.c,Maybe,0.47,Maybe,0.48,Maybe,0.33,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Ex06.c,Maybe,0.15,Maybe,0.15,Maybe,0.15,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_23.c,Maybe,0.09,Maybe,0.1,Maybe,0.1,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaA9.c,Maybe,0.38,Maybe,0.37,Maybe,0.39,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple2_false-termination.c,Maybe,0.32,Maybe,0.32,Maybe,0.32,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Gothenburg_true-termination.c,Maybe,0.7,Maybe,0.69,Maybe,0.7,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PodelskiRybalchenko-TACAS2011-Fig2_true-termination.c,YES,0.2,YES,0.2,YES,0.2,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Toulouse-BranchesToLoop_true-termination.c,Maybe,0.29,Maybe,0.29,Maybe,0.3,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Urban-WST2013-Fig1_false-termination.c,Maybe,0.12,Maybe,0.12,Maybe,0.11,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-random1d_true-termination.c,Maybe,6.62,Maybe,6.58,Maybe,6.89,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Ben-Amram-LMCS2010-Ex2.3_true-termination.c,Maybe,2.17,Maybe,2.2,Maybe,2.17,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c,Maybe,0.15,Maybe,0.14,Maybe,0.18,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c,YES,0.28,YES,0.28,YES,0.41,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaA5.c,Maybe,0.25,Maybe,0.34,Maybe,0.34,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_java_Continue1.c,YES,0.16,YES,0.22,YES,0.22,True
TPDB_Y2024_filtered_VBS/Stroeder_15/easy2_true-termination.c,YES,0.27,YES,0.26,YES,0.26,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Ex07.c,Maybe,0.1,Maybe,0.13,Maybe,0.1,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Et2.c,Maybe,2.36,Maybe,2.96,Maybe,2.92,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c,Maybe,0.5,Maybe,0.71,Maybe,0.49,True
TPDB_Y2024_filtered_VBS/Stroeder_15/svcomp_b.16.c,YES,0.29,YES,0.29,YES,0.41,True
TPDB_Y2024_filtered_VBS/Stroeder_15/LeikeHeizmann-TACAS2014-Ex1_true-termination.c,YES,0.12,YES,0.15,YES,0.12,True
TPDB_Y2024_filtered_VBS/Stroeder_15/CookSeeZuleger-TACAS2013-Fig7a_true-termination.c,YES,0.26,YES,0.36,YES,0.37,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_cstrncat_unsafe.c,Maybe,0.69,Maybe,0.69,Maybe,0.69,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_stroeder1_unsafe.c,YES,0.25,YES,0.25,YES,0.36,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_selectionsort_unsafe.c,YES,0.3,YES,0.3,YES,0.31,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_selection_sort_unsafe.c,Maybe,0.51,Maybe,0.72,Maybe,0.73,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_add_last_unsafe.c,Failed,0.25,Failed,0.24,Failed,0.25,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_knapsack_alloca_unsafe.c,Failed,0.25,Failed,0.24,Failed,0.24,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_reverse_array_alloca_unsafe.c,Failed,0.25,Failed,0.23,Failed,0.25,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_bubblesort_unsafe.c,Maybe,0.47,Maybe,0.46,Maybe,0.66,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_diff_usafe.c,YES,0.45,YES,0.46,YES,0.66,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_cstrcat_unsafe.c,Maybe,0.14,Maybe,0.18,Maybe,0.17,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_cstrpbrk_unsafe.c,Maybe,0.4,Maybe,0.39,Maybe,0.56,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_stroeder2_unsafe.c,Maybe,0.66,Maybe,0.94,Maybe,0.91,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_insertionsort_unsafe.c,YES,0.27,YES,0.26,YES,0.37,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_reverse_array_unsafe.c,Failed,0.24,Failed,0.23,Failed,0.24,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_mult_array_unsafe.c,Failed,0.24,Failed,0.22,Failed,0.19,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_delete_unsafe.c,Maybe,0.15,Maybe,0.16,Maybe,0.12,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_cstrchr_unsafe.c,Maybe,0.41,Maybe,0.3,Maybe,0.4,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_knapsack_unsafe.c,Maybe,0.94,Maybe,1.0,Maybe,0.7,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_insertion_sort_unsafe.c,Maybe,1.01,Maybe,0.69,Maybe,1.01,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_lis_unsafe.c,TIMEOUT,300.11,TIMEOUT,300.11,TIMEOUT,300.11,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_java_BubbleSort_unsafe.c,YES,0.43,YES,0.43,YES,0.31,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_cstrlen_unsafe.c,Maybe,0.25,Maybe,0.25,Maybe,0.34,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_cstrcpy_unsafe.c,Maybe,1.76,Maybe,1.71,Maybe,1.32,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_count_down_unsafe.c,Failed,0.24,Failed,0.24,Failed,0.23,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_bubble_sort_unsafe.c,Maybe,0.54,Maybe,0.76,Maybe,0.78,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_delete_alloca_unsafe.c,Failed,0.24,Failed,0.24,Failed,0.25,True
TPDB_Y2024_filtered_VBS/AProVE_memory_unsafe/svcomp_cstrncpy_unsafe.c,Maybe,0.48,Maybe,0.47,Maybe,0.68,True
TPDB_Y2024_filtered_VBS/Di_Stefano_20/formation_true-termination.c,Maybe,3.25,Maybe,3.23,Maybe,3.69,True
TPDB_Y2024_filtered_VBS/Di_Stefano_20/flock-noarray_true-termination.c,Maybe,11.3,Maybe,11.31,Maybe,11.27,True
TPDB_Y2024_filtered_VBS/Di_Stefano_20/flock_true-termination.c,Maybe,3.41,Maybe,3.35,Maybe,3.12,True
TPDB_Y2024_filtered_VBS/Di_Stefano_20/majority-noarray_true-termination.c,Maybe,60.54,Maybe,60.15,Maybe,58.83,True
