file,result_2ls_TPDB_copy1,time_taken_2ls_TPDB_copy1,result_2ls_TPDB_copy2,time_taken_2ls_TPDB_copy2,result_2ls_TPDB_copy3,time_taken_2ls_TPDB_copy3,consistency
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,Maybe,0.6,Maybe,0.58,Maybe,0.84,True
TPDB_Y2024_filtered_VBS/Stroeder_15/WhileDecr.c,YES,0.1,YES,0.11,YES,0.13,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-rsd_true-termination.c,Maybe,1.25,Maybe,1.21,Maybe,1.72,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NonTerminationSimple5_false-termination.c,Maybe,0.23,Maybe,0.23,Maybe,0.22,True
TPDB_Y2024_filtered_VBS/Stroeder_15/GCD3.c,YES,0.49,YES,0.49,YES,0.48,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_00.c,Maybe,0.1,Maybe,0.09,Maybe,0.09,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c,Maybe,2.26,Maybe,2.22,Maybe,2.62,True
TPDB_Y2024_filtered_VBS/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.22_true-termination.c,YES,3.52,YES,3.24,YES,3.21,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Avery-FLOPS2006-Table1_true-termination.c,YES,0.43,YES,0.29,YES,0.28,True
TPDB_Y2024_filtered_VBS/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c,YES,0.2,YES,0.16,YES,0.19,True
TPDB_Y2024_filtered_VBS/Stroeder_15/DivWithoutMinus.c,Maybe,0.97,Maybe,0.68,Maybe,0.95,True
TPDB_Y2024_filtered_VBS/Stroeder_15/NO_12.c,TIMEOUT,300.27,TIMEOUT,300.13,TIMEOUT,300.12,True
TPDB_Y2024_filtered_VBS/Stroeder_15/Flip2.c,Maybe,1.04,Maybe,1.14,Maybe,1.05,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB4.c,YES,0.3,YES,0.17,YES,0.23,True
TPDB_Y2024_filtered_VBS/Stroeder_15/PastaB11.c,YES,0.24,YES,0.19,YES,0.15,True
