file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type,SVMR_is_term,CPA_is_term,Combo_is_term
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c,Unknown,Unknown,Terminate,0.3,Terminate,3.328688145,Terminate,3.73,Terminate,4.74,Terminate,1.78,Terminate,2.1,Terminate,Terminate,Terminate,Terminate,Terminate,5.06,Terminate,Nested,2,2,3,False,False,True,False,True,22,C,loop,,False,True,True
BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c,failed,Failed,Unknown,0.58,Unknown,5.377459526,Terminate,8.34,Terminate,4.44,Terminate,4.22,Terminate,4.14,Terminate,Terminate,Terminate,Terminate,Terminate,5.55,Terminate,Nested,2,2,3,False,False,True,False,False,31,C,loop,,False,True,True
svcomp_cstrpbrk_true-termination.c,Terminate,TERMINATE,Unknown,0.59,Failed,0.344676256,Unknown,3.14,Unknown,3.24,Unknown,1.87,Unknown,265.02,Terminate,Unknown,Terminate,timeout,Unknown,11.1,Terminate,Nested,2,2,3,False,False,True,True,True,45,C,loop,,True,False,True
PastaB14.c,Unknown,Unknown,Terminate,0.41,Terminate,2.30221653,Terminate,3.36,Terminate,4.03,Terminate,1.58,Terminate,1.99,Terminate,Terminate,Terminate,Terminate,Terminate,3.78,Terminate,Nested,2,2,2,False,False,True,False,True,19,C,loop,,False,True,True
nondet_ll_traverse-ptrdiff.c,Terminate,TERMINATE,Unknown,1.15,Failed,0.343068838,Unknown,4.4,Unknown,4.7,Unknown,1.93,Unknown,277.59,Terminate,Unknown,Terminate,Failed,Unknown,3.1,Terminate,Multiple,2,1,3,False,False,True,False,True,43,C,loop,,True,False,True
PastaB17.c,Terminate,TERMINATE,Terminate,0.32,Terminate,2.484492064,Terminate,2.5,Terminate,3.34,Terminate,1.52,Terminate,1.62,Terminate,Terminate,Terminate,Terminate,Terminate,4.1,Terminate,Nested,2,2,3,False,False,True,False,False,21,C,loop,,True,True,True
svcomp_cstrcspn_true-termination.c,Terminate,TERMINATE,Unknown,0.45,Failed,0.472830057,Unknown,3.36,Unknown,3.53,Unknown,1.85,Unknown,264.24,Terminate,Unknown,Terminate,timeout,Unknown,12.08,Terminate,Nested,2,2,3,False,False,True,True,True,43,C,loop,,True,False,True
PastaC1.c,Unknown,Unknown,Unknown,0.29,Terminate,1.453138113,Terminate,3.26,Terminate,3.73,Terminate,1.55,Terminate,1.63,Terminate,Terminate,Terminate,Terminate,Terminate,4.97,Terminate,Nested,2,2,2,False,False,True,False,True,19,C,loop,,False,True,True
svcomp_b.16.c,failed,Failed,Terminate,0.29,Terminate,2.75505805,Terminate,2.57,Terminate,3.05,Terminate,1.54,Terminate,1.97,Terminate,Terminate,Terminate,Terminate,Terminate,3.86,Terminate,Nested,2,2,2,False,False,True,False,False,19,C,loop,,False,True,True
svcomp_twisted.c,Terminate,TERMINATE,Unknown,1.25,Terminate,9.008149385,Failed,3.12,Failed,4.46,Unknown,1.73,Unknown,267.93,Terminate,Terminate,Terminate,Terminate,Terminate,4.37,Terminate,Multiple,2,1,4,False,False,True,False,False,25,C,loop,,True,False,True
svcomp_array01_alloca.c,Terminate,TERMINATE,Failed,0.25,Failed,0.33958602,Unknown,3.08,Unknown,3.4,Unknown,1.52,Unknown,267.76,Terminate,Unknown,Terminate,Terminate,Terminate,4.54,Terminate,Nested,2,2,3,False,False,True,True,True,25,C,loop,,True,False,True
PodelskiRybalchenko-TACAS2011-Fig2_true-termination.c,failed,Failed,Terminate,0.2,Terminate,2.206729889,Terminate,2.5,Terminate,2.9,Terminate,1.5,Terminate,1.63,Terminate,Terminate,Terminate,Terminate,Terminate,4.63,Terminate,Nested,2,2,2,False,False,True,False,False,25,C,loop,,False,True,True
svcomp_b.15.c,Unknown,Unknown,Terminate,0.52,Terminate,2.267091751,Terminate,3.1,Terminate,4.0,Terminate,1.68,Terminate,2.02,Terminate,Terminate,Terminate,Terminate,Terminate,3.89,Terminate,Nested,2,2,3,False,False,True,False,True,18,C,loop,,False,True,True
PodelskiRybalchenko-LICS2004-Fig1_true-termination.c,Terminate,TERMINATE,Unknown,0.17,Terminate,1.421187878,Terminate,3.34,Terminate,3.88,Terminate,1.57,Terminate,1.62,Terminate,Terminate,Terminate,Terminate,Terminate,4.5,Terminate,Nested,2,2,2,False,False,True,False,True,25,C,loop,,True,True,True
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c,failed,Failed,Unknown,0.57,Terminate,12.76794291,Terminate,5.92,Terminate,7.64,Terminate,2.67,Terminate,2.64,Terminate,Terminate,Terminate,timeout,Terminate,6.38,Terminate,Nested,2,2,4,False,False,True,False,True,23,C,loop,,False,True,True
desc_ll_search_existing.c,Terminate,TERMINATE,Unknown,0.94,Failed,0.477369785,Unknown,5.6,Unknown,5.18,Unknown,2.87,Unknown,283.68,Terminate,timeout,Terminate,timeout,Unknown,20.46,Terminate,Multiple,2,1,5,False,False,True,False,True,39,C,loop,,True,False,True
Avery-FLOPS2006-Table1_true-termination.c,Terminate,TERMINATE,Terminate,0.43,Terminate,2.445770264,Terminate,5.83,TIMEOUT,300.04,Terminate,2.76,Terminate,2.5,Terminate,Terminate,Terminate,Terminate,Terminate,4.03,Terminate,Multiple,2,1,2,False,False,True,False,False,35,C,loop,,True,True,True
DivMinus2.c,failed,Failed,Unknown,1.46,Terminate,19.73166084,Terminate,3.79,Terminate,4.53,Terminate,1.75,Terminate,2.06,Terminate,Terminate,Terminate,Terminate,Terminate,5.34,Terminate,Nested,2,2,3,False,False,True,False,True,29,C,loop,,False,True,True
svcomp_c.08.c,Unknown,Unknown,Terminate,0.37,Terminate,1.888632059,Terminate,3.51,Terminate,3.84,Terminate,1.63,Terminate,2.0,Terminate,Terminate,Terminate,Terminate,Terminate,4.2,Terminate,Nested,2,2,2,False,False,True,False,False,19,C,loop,,False,True,True
AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c,failed,Failed,Terminate,0.22,Terminate,1.846493959,Terminate,3.54,Terminate,4.02,Terminate,1.64,Terminate,2.02,Terminate,Terminate,Terminate,Terminate,Terminate,4.41,Terminate,Nested,2,2,2,False,False,True,False,False,22,C,loop,,False,True,True
Log.c,Unknown,Unknown,Terminate,0.54,Terminate,2.274074793,Terminate,3.62,Terminate,4.27,Terminate,1.7,Terminate,2.03,Terminate,Terminate,Terminate,Terminate,Terminate,4.34,Terminate,Nested,2,2,2,False,False,True,False,False,28,C,loop,,False,True,True
LogAG.c,Terminate,TERMINATE,Unknown,1.78,Terminate,2.088848352,Terminate,3.42,Terminate,4.2,Terminate,1.61,Terminate,1.99,Terminate,Terminate,Terminate,Terminate,Terminate,4.65,Terminate,Nested,2,2,2,False,False,True,False,False,29,C,loop,,True,True,True
PastaA1.c,Unknown,Unknown,Terminate,0.26,Terminate,1.281229734,Terminate,3.11,Terminate,3.6,Terminate,1.56,Terminate,1.63,Terminate,Terminate,Terminate,Terminate,Terminate,4.48,Terminate,Nested,2,2,2,False,False,True,False,False,19,C,loop,,False,True,True
GulavaniGulwani-CAV2008-Fig1b_true-termination.c,failed,Failed,Terminate,0.32,Terminate,2.751409292,Terminate,3.41,Unknown,267.34,Terminate,1.55,Terminate,1.62,Terminate,Terminate,Terminate,Terminate,Terminate,4.05,Terminate,Multiple,2,1,3,False,False,True,False,False,28,C,loop,,False,True,True
svcomp_c.01-no-inv.c,Unknown,Unknown,Unknown,0.93,Unknown,5.683444262,Terminate,2.95,Terminate,3.51,Terminate,1.66,Terminate,1.98,Terminate,Terminate,Terminate,Terminate,Terminate,4.8,Terminate,Nested,2,2,2,False,False,True,False,True,19,C,loop,,False,True,True
PastaC2.c,failed,Failed,Unknown,0.46,Terminate,2.747471571,Terminate,3.6,Terminate,4.05,Terminate,1.64,Terminate,1.97,Terminate,Terminate,Terminate,Terminate,Terminate,4.34,Terminate,Nested,2,2,2,False,False,True,False,False,20,C,loop,,False,True,True
nondet_ll_traverse.c,Terminate,TERMINATE,Unknown,1.17,Failed,0.466519356,Unknown,3.87,Unknown,4.06,Unknown,1.76,Unknown,290.87,Terminate,timeout,Terminate,timeout,Unknown,17.37,Terminate,Multiple,2,1,4,False,False,True,False,True,37,C,loop,,True,False,True
Sequence.c,failed,Failed,Terminate,0.23,Terminate,1.350039005,Terminate,258.7,Terminate,260.33,Terminate,134.36,Terminate,1.6,Terminate,Terminate,Terminate,Terminate,Terminate,4.03,Terminate,Multiple,2,1,2,False,False,True,False,False,16,C,loop,,False,True,True
svcomp_openbsd_cstpncpy_alloca.c,Terminate,TERMINATE,Failed,0.25,Failed,0.356109619,Unknown,4.4,Unknown,4.5,Unknown,2.0,Unknown,261.44,Terminate,Unknown,Terminate,Terminate,Unknown,10.95,Terminate,Nested,2,2,1,True,False,True,True,True,40,C,loop,,True,False,True
svcomp_c.02.c,failed,Failed,Terminate,0.43,Terminate,4.060259342,Terminate,3.68,Terminate,3.97,Terminate,1.69,Terminate,2.01,Terminate,Terminate,Terminate,Terminate,Terminate,4.12,Terminate,Nested,2,2,2,False,False,True,False,False,20,C,loop,,False,True,True
svcomp_twisted-alloca.c,failed,Failed,Failed,0.25,Failed,0.351254463,Unknown,6.22,Unknown,6.53,Unknown,3.28,Unknown,260.21,Terminate,Terminate,Terminate,Terminate,Terminate,19.24,Unknown,Multiple,2,1,3,False,False,True,False,True,34,C,loop,,False,False,False
svcomp_b.17-alloca.c,failed,Failed,Failed,0.24,Failed,0.341404438,Unknown,5.53,Unknown,7.2,Unknown,3.02,Nonterminate,1.41,Terminate,timeout,Terminate,Terminate,Terminate,30.24,Unknown,Nested,2,2,3,False,False,True,False,True,28,C,loop,,False,False,False
svcomp_c.02-alloca.c,failed,Failed,Failed,0.24,Failed,0.346795082,Unknown,3.62,Unknown,3.65,Unknown,2.17,Unknown,287.7,Terminate,timeout,Terminate,Terminate,TIMEOUT,300.01,Unknown,Nested,2,2,2,False,False,True,False,True,27,C,loop,,False,False,False
