file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type,SVMR_is_term,CPA_is_term,Combo_is_term
svcomp_cstrcspn_true_alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.476526022,Unknown,4.03,Unknown,4.23,Unknown,1.91,Unknown,264.22,Terminate,Unknown,Terminate,timeout,Unknown,12.3,Unknown,Nested,2,2,3,False,False,True,True,True,41,C,loop,,False,False,False
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c,Unknown,Unknown,Terminate,0.3,Terminate,3.328688145,Terminate,3.73,Terminate,4.74,Terminate,1.78,Terminate,2.1,Terminate,Terminate,Terminate,Terminate,Terminate,5.06,Terminate,Nested,2,2,3,False,False,True,False,True,22,C,loop,,False,True,True
BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c,failed,Failed,Unknown,0.58,Unknown,5.377459526,Terminate,8.34,Terminate,4.44,Terminate,4.22,Terminate,4.14,Terminate,Terminate,Terminate,Terminate,Terminate,5.55,Terminate,Nested,2,2,3,False,False,True,False,False,31,C,loop,,False,True,True
PastaB14.c,Unknown,Unknown,Terminate,0.41,Terminate,2.30221653,Terminate,3.36,Terminate,4.03,Terminate,1.58,Terminate,1.99,Terminate,Terminate,Terminate,Terminate,Terminate,3.78,Terminate,Nested,2,2,2,False,False,True,False,True,19,C,loop,,False,True,True
svcomp_LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1_true-alloca.c,failed,Failed,Failed,0.19,Failed,0.466651201,Unknown,4.35,Unknown,4.21,Unknown,2.02,Nonterminate,1.39,Terminate,timeout,Terminate,timeout,Terminate,93.81,Unknown,Nested,2,2,2,False,False,True,False,True,21,C,loop,,False,False,False
svcomp_Urban-2013WST-Fig2_true-alloca.c,Unknown,Unknown,Failed,0.23,Failed,0.471933126,Unknown,4.17,Unknown,4.47,Unknown,1.88,Unknown,289.37,Terminate,Terminate,Terminate,Terminate,Terminate,5.36,Unknown,Nested,2,2,2,False,False,True,False,True,13,C,loop,,False,False,False
Parallel_true-termination.c,failed,Failed,Terminate,0.17,Terminate,1.888111353,Terminate,2.42,Terminate,2.95,Terminate,1.5,Terminate,1.56,Terminate,Terminate,Terminate,Terminate,Terminate,3.8,Terminate,Linear,1,1,0,True,True,True,False,False,30,C,loop,,False,True,True
PastaC1.c,Unknown,Unknown,Unknown,0.29,Terminate,1.453138113,Terminate,3.26,Terminate,3.73,Terminate,1.55,Terminate,1.63,Terminate,Terminate,Terminate,Terminate,Terminate,4.97,Terminate,Nested,2,2,2,False,False,True,False,True,19,C,loop,,False,True,True
Lobnya-Boolean-Reordered_true-termination.c,failed,Failed,Unknown,0.58,Terminate,7.937224388,Unknown,7.25,Unknown,17.17,Unknown,3.26,Unknown,281.84,Terminate,Terminate,Terminate,Terminate,Terminate,12.61,Unknown,Linear,1,1,0,True,True,True,False,False,24,C,loop,,False,False,False
svcomp_c.01_assume-alloca.c,failed,Failed,Failed,0.25,Failed,0.344102859,Unknown,3.05,Unknown,2.63,Unknown,1.54,Nonterminate,1.4,Terminate,Terminate,Terminate,Terminate,Terminate,5.67,Unknown,Nested,2,2,2,False,False,True,False,True,27,C,loop,,False,False,False
data_structures_set_multi_proc_false-unreach-call_ground.c,failed,Failed,Failed,300.68,Terminate,15.3527627,Failed,4.62,Failed,4.61,Failed,2.06,Failed,2.17,Terminate,timeout,Terminate,timeout,TIMEOUT,300.04,Failed,Nested,6,2,6,False,False,True,True,False,37,C,loop,,False,False,False
svcomp_b.16.c,failed,Failed,Terminate,0.29,Terminate,2.75505805,Terminate,2.57,Terminate,3.05,Terminate,1.54,Terminate,1.97,Terminate,Terminate,Terminate,Terminate,Terminate,3.86,Terminate,Nested,2,2,2,False,False,True,False,False,19,C,loop,,False,True,True
svcomp_c.08-alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.347391844,Unknown,3.99,Unknown,4.18,Unknown,2.13,Unknown,288.08,Terminate,Terminate,Terminate,Terminate,TIMEOUT,300.05,Unknown,Nested,2,2,2,False,False,True,False,True,26,C,loop,,False,False,False
PodelskiRybalchenko-TACAS2011-Fig2_true-termination.c,failed,Failed,Terminate,0.2,Terminate,2.206729889,Terminate,2.5,Terminate,2.9,Terminate,1.5,Terminate,1.63,Terminate,Terminate,Terminate,Terminate,Terminate,4.63,Terminate,Nested,2,2,2,False,False,True,False,False,25,C,loop,,False,True,True
svcomp_fermat-alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.338180065,Unknown,34.65,Unknown,226.05,Unknown,21.99,Unknown,261.4,Terminate,timeout,Terminate,Terminate,TIMEOUT,300.02,Unknown,Linear,1,1,0,True,True,True,False,True,31,C,loop,,False,False,False
LeikeHeizmann-TACAS2014-Ex9_true-termination.c,failed,Failed,Terminate,0.22,Terminate,2.643092632,Terminate,3.31,Terminate,4.01,Terminate,1.56,Terminate,1.59,Terminate,Terminate,Terminate,Terminate,Terminate,3.85,Terminate,Linear,1,1,2,True,False,True,False,True,26,C,loop,,False,True,True
svcomp_b.15.c,Unknown,Unknown,Terminate,0.52,Terminate,2.267091751,Terminate,3.1,Terminate,4.0,Terminate,1.68,Terminate,2.02,Terminate,Terminate,Terminate,Terminate,Terminate,3.89,Terminate,Nested,2,2,3,False,False,True,False,True,18,C,loop,,False,True,True
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c,failed,Failed,Unknown,0.57,Terminate,12.76794291,Terminate,5.92,Terminate,7.64,Terminate,2.67,Terminate,2.64,Terminate,Terminate,Terminate,timeout,Terminate,6.38,Terminate,Nested,2,2,4,False,False,True,False,True,23,C,loop,,False,True,True
svcomp_cstrspn_true-termination.c,Unknown,Unknown,Unknown,0.61,Failed,0.476391554,Unknown,3.96,Unknown,4.16,Unknown,1.98,Unknown,263.45,Terminate,Unknown,Terminate,timeout,Unknown,11.05,Unknown,Nested,2,2,3,False,False,True,True,True,44,C,loop,,False,False,False
DivMinus2.c,failed,Failed,Unknown,1.46,Terminate,19.73166084,Terminate,3.79,Terminate,4.53,Terminate,1.75,Terminate,2.06,Terminate,Terminate,Terminate,Terminate,Terminate,5.34,Terminate,Nested,2,2,3,False,False,True,False,True,29,C,loop,,False,True,True
svcomp_openbsd_cstrlcpy_alloca.c,failed,"ERROR,TERMINATE",Failed,0.23,Failed,0.344657183,Unknown,4.04,Unknown,4.09,Unknown,1.88,Unknown,265.24,Terminate,Unknown,Terminate,timeout,Unknown,11.16,Unknown,Multiple,2,1,2,True,False,True,True,True,51,C,loop,,False,False,False
svcomp_c.08.c,Unknown,Unknown,Terminate,0.37,Terminate,1.888632059,Terminate,3.51,Terminate,3.84,Terminate,1.63,Terminate,2.0,Terminate,Terminate,Terminate,Terminate,Terminate,4.2,Terminate,Nested,2,2,2,False,False,True,False,False,19,C,loop,,False,True,True
