file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type,SVMR_is_term,CPA_is_term,Combo_is_term
ex3.c,,,Terminate,0.19,Failed,0.320417643,Unknown,2.18,Failed,2.19,Failed,0.42,Failed,0.42,Terminate,timeout,Terminate,Failed,Terminate,11.05,Unknown,,0,0,0,False,False,True,False,False,20,C,recur,non-tail,False,False,False
LeeJonesBen-Amram-POPL2001-Ex5_true-termination.c,,,Terminate,0.17,Failed,0.436649084,Unknown,1.87,Failed,1.87,Failed,0.43,Failed,0.4,Terminate,Terminate,Terminate,Terminate,Unknown,14.99,Unknown,,0,0,0,False,False,True,False,True,32,C,recur,tail,False,False,False
NestedRecursion_2c_true-termination.c,,,Terminate,0.18,Failed,0.438066244,Unknown,1.7,Failed,1.73,Failed,0.4,Failed,0.39,Terminate,timeout,Terminate,Failed,TIMEOUT,300.02,Unknown,,0,0,0,False,False,True,False,False,22,C,recur,non-tail,False,False,False
NestedRecursion_1c_true-termination.c,Unknown,Unknown,Terminate,0.25,Failed,0.318423986,Unknown,2.14,Failed,2.22,Failed,0.39,Failed,0.39,Terminate,timeout,Terminate,Failed,Terminate,4.76,Unknown,,0,0,0,False,False,True,False,False,26,C,recur,non-tail,False,False,False
gcd01_true-unreach-call_true-termination.c,,,Terminate,0.26,Failed,0.44483304,Unknown,1.75,Failed,1.74,Failed,0.39,Failed,0.41,Terminate,Terminate,Terminate,Terminate,Terminate,6.22,Unknown,,0,0,0,False,False,True,False,True,43,C,recur,non-tail,False,False,False
EvenOdd01_true-unreach-call_true-termination.c,,,Failed,300.04,Failed,0.435204506,Unknown,2.17,Failed,2.22,Failed,0.41,Failed,0.43,Terminate,timeout,Terminate,Failed,Terminate,5.09,Unknown,,0,0,0,False,False,True,False,False,49,C,recur,non-tail,False,False,False
Fibonacci01_true-unreach-call.c,,,Terminate,0.13,Failed,0.444689512,Unknown,2.15,Failed,2.2,Failed,0.43,Failed,0.38,Terminate,timeout,Terminate,Failed,Terminate,7.8,Unknown,,0,0,0,False,False,True,False,False,38,C,recur,non-tail,False,False,False
NestedRecursion_1b_true-termination.c,failed,Failed,Terminate,0.28,Failed,0.442726374,Unknown,1.5,Failed,1.4,Failed,0.42,Failed,0.4,Unknown,Terminate,timeout,Failed,Terminate,8.25,Unknown,,0,0,0,False,False,True,False,False,26,C,recur,non-tail,False,False,False
recHanoi01_true-unreach-call_true-termination.c,,,Terminate,0.38,Failed,0.319832563,Unknown,1.82,Unknown,2.01,Failed,0.4,Failed,0.4,Terminate,timeout,Terminate,Failed,TIMEOUT,300.02,Unknown,,0,0,0,False,False,True,False,True,56,C,recur,non-tail,False,False,False
LeeJonesBen-Amram-POPL2001-Ex1_true-termination.c,,,Terminate,0.38,Failed,0.44423008,Unknown,2.09,Failed,2.2,Failed,0.43,Failed,0.43,Terminate,Terminate,Terminate,Terminate,Terminate,4.04,Unknown,,0,0,0,False,False,True,False,False,31,C,recur,tail,False,False,False
RecursiveMultiplication_true-termination.c,,,Terminate,0.21,Failed,0.329777718,Unknown,2.17,Failed,2.19,Failed,0.41,Failed,0.42,Terminate,Terminate,Terminate,Failed,Terminate,4.71,Unknown,,0,0,0,False,False,True,False,True,27,C,recur,non-tail,False,False,False
