file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type
Ben-Amram-LMCS2010-Ex2.3_true-termination.c,failed,Failed,Unknown,2.17,Terminate,23.1144588,Terminate,3.46,Terminate,4.76,Terminate,1.90,Terminate,2.19,Terminate,Terminate,Terminate,Terminate,Terminate,4.64,Terminate,Linear,1,1,3,False,False,True,False,True,32,C,loop,
Benghazi_nondet_true-termination.c,failed,Failed,Unknown,163.16,Terminate,2.094527721,Terminate,3.46,TIMEOUT,300.04,Terminate,1.91,Terminate,2.14,Terminate,Terminate,Terminate,Terminate,Terminate,3.92,Terminate,Linear,1,1,1,False,False,True,False,False,24,C,loop,
svcomp_openbsd_cstrcpy_alloca.c,failed,Failed,Failed,0.24,Failed,0.472301245,Unknown,3.29,Unknown,3.42,Unknown,1.58,Unknown,268.53,Terminate,Unknown,Terminate,timeout,Unknown,9.5,Unknown,Linear,1,1,2,False,False,True,True,True,30,C,loop,
svcomp_b.16-alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.344576597,Unknown,3.78,Unknown,4.58,Unknown,2.55,Unknown,288.86,Terminate,Terminate,Terminate,Terminate,Terminate,5.06,Unknown,Nested,2,2,2,False,False,True,False,True,26,C,loop,
AliasDarteFeautrierGonnord-SAS2010-exmini_true-termination.c,failed,Failed,Terminate,0.28,Terminate,1.546123505,Terminate,2.58,Terminate,3.21,Terminate,1.45,Terminate,1.55,Terminate,Terminate,Terminate,Terminate,Terminate,3.97,Terminate,Linear,1,1,3,False,False,True,False,True,26,C,loop,
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c,Terminate,TERMINATE,Unknown,0.6,Terminate,31.93115854,Terminate,4.37,Terminate,6.02,Terminate,1.96,Terminate,2.65,Terminate,Terminate,Terminate,timeout,Terminate,5.16,Terminate,Nested,3,2,4,False,False,True,False,True,23,C,loop,
svcomp_subseq_alloca.c,failed,Failed,Failed,0.24,Failed,0.343412638,Unknown,3.31,Unknown,3.37,Unknown,1.60,Unknown,244.13,Terminate,Unknown,Terminate,timeout,Unknown,10.68,Unknown,Linear,1,1,2,False,False,True,True,True,33,C,loop,
svcomp_cstrncpy_alloca.c,failed,"ERROR,UNKNOWN",Failed,0.23,Failed,0.344888687,Unknown,4.07,Unknown,4.14,Unknown,1.88,Unknown,265.15,Terminate,Unknown,Terminate,Terminate,Terminate,4.97,Unknown,Nested,2,2,2,True,False,True,True,True,42,C,loop,
TwoWay_true.c,,,Terminate,0.28,Failed,0.328836918,Unknown,2.22,Failed,2.21,Unknown,1.07,Unknown,283.58,Terminate,Terminate,Terminate,Terminate,Terminate,4.49,Unknown,,0,0,0,False,False,True,False,True,50,C,recur,non-tail
svcomp_insertionsort_alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.469213724,Unknown,3.16,Unknown,3.44,Unknown,1.79,Unknown,271.01,Terminate,Unknown,Terminate,Terminate,Terminate,5.07,Unknown,Nested,2,2,5,False,False,True,True,True,26,C,loop,
Masse-VMCAI2014-Ex6_true-termination.c,Unknown,Unknown,Terminate,0.23,Terminate,2.071326494,Unknown,2.69,Unknown,2.78,Unknown,1.33,Unknown,297.12,Terminate,Terminate,Terminate,Terminate,Terminate,4.38,Unknown,Linear,1,1,1,False,False,True,False,False,24,C,loop,
LeikeHeizmann-TACAS2014-Ex7_true-termination.c,Unknown,Unknown,Terminate,0.3,Terminate,1.739848137,Terminate,2.67,Terminate,3.5,Terminate,1.50,Terminate,1.67,Terminate,Terminate,Terminate,Terminate,Terminate,3.84,Terminate,Linear,1,1,1,False,False,True,False,False,29,C,loop,
svcomp_b.09_assume-alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.348290682,Unknown,2.8,Unknown,3.61,Unknown,1.94,Unknown,291.75,Terminate,Terminate,Terminate,Terminate,Terminate,76.65,Unknown,Linear,1,1,1,False,False,True,False,True,34,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c,failed,Failed,Unknown,0.42,Terminate,1.589332104,Terminate,2.96,Terminate,3.51,Terminate,1.58,Nonterminate,1.40,Terminate,Terminate,Terminate,Terminate,Terminate,3.68,Terminate,Linear,1,1,1,True,False,True,False,True,30,C,loop,
svcomp_openbsd_cstrncpy_alloca.c,Unknown,Unknown,Failed,0.19,Failed,0.473563671,Unknown,4.01,Unknown,3.6,Unknown,2.17,Unknown,264.95,Terminate,Unknown,Terminate,Terminate,Unknown,10.71,Unknown,Nested,2,2,1,True,False,True,True,True,42,C,loop,
nondet_ll_init_rec.c,,,Terminate,0.47,Failed,0.345979214,Unknown,1.91,Failed,1.94,Unknown,1.23,Unknown,286.32,Terminate,timeout,Terminate,Failed,Terminate,4.61,Unknown,,0,0,0,False,False,True,False,True,23,C,recur,non-tail
svcomp_c.07.c,failed,Failed,Terminate,0.39,Terminate,1.741048336,Terminate,3.17,Terminate,4.93,Terminate,1.54,Terminate,1.75,Terminate,Terminate,Terminate,Terminate,Terminate,4.0,Terminate,Linear,1,1,1,False,False,True,False,True,18,C,loop,
svcomp_b.17.c,Unknown,Unknown,Terminate,0.4,Terminate,2.84706378,Terminate,2.67,Terminate,3.29,Terminate,1.88,Terminate,2.25,Terminate,Terminate,Terminate,Terminate,Terminate,4.11,Terminate,Nested,2,2,3,False,False,True,False,False,19,C,loop,
